# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
Belgrano	Buenos Aires F.D.	08	N	138.942	34.5627S	58.45829W	18	7	America/Argentina/Buenos_Aires
Barranqueras	Chaco	08	N	50.823	27.48132S	58.93925W	52	6	America/Argentina/Cordoba
Barracas	Buenos Aires F.D.	08	N	77.474	34.64966S	58.38341W	10	6	America/Argentina/Buenos_Aires
Balcarce	Buenos Aires	08	N	38.823	37.84616S	58.25522W	126	5	America/Argentina/Buenos_Aires
Azul	Buenos Aires	08	N	53.941	36.77698S	59.85854W	141	6	America/Argentina/Buenos_Aires
Avellaneda	Santa Fe	08	N	23.341	29.11761S	59.65834W	52	5	America/Argentina/Cordoba
Aristobulo del Valle	Misiones	08	N	20.683	27.09625S	54.89626W	494	5	America/Argentina/Cordoba
Zapala	Neuquen	08	N	31.534	38.89916S	70.05442W	1015	5	America/Argentina/Salta
Yerba Buena	Tucuman	08	N	50.783	26.81667S	65.31667W	515	6	America/Argentina/Tucuman
Villa Regina	Rio Negro	08	N	31.209	39.1S	67.06667W	201	5	America/Argentina/Salta
Villa Paula de Sarmiento	San Juan	08	N	19.092	31.4933S	68.53838W	646	5	America/Argentina/San_Juan
Villa Nueva	Cordoba	08	N	16.841	32.43293S	63.24763W	204	5	America/Argentina/Cordoba
Villa Maria	Cordoba	08	N	92.453	32.40751S	63.24016W	202	6	America/Argentina/Cordoba
Villa Dolores	Cordoba	08	N	28.009	31.94585S	65.18958W	523	5	America/Argentina/Cordoba
Villa Constitucion	Santa Fe	08	N	44.271	33.22778S	60.3297W	32	5	America/Argentina/Cordoba
Villa Carlos Paz	Cordoba	08	N	69.451	31.42414S	64.49778W	666	6	America/Argentina/Cordoba
Villa Angela	Chaco	08	N	43.511	27.57383S	60.71526W	79	5	America/Argentina/Cordoba
Villa Allende	Cordoba	08	N	21.683	31.29458S	64.29538W	505	5	America/Argentina/Cordoba
Viedma	Rio Negro	08	R	48.94	40.81345S	62.99668W	8	5	America/Argentina/Salta
Victoria	Entre Rios	08	N	25.139	32.61841S	60.15478W	52	5	America/Argentina/Cordoba
Vera	Santa Fe	08	N	19.797	29.4593S	60.21261W	64	5	America/Argentina/Cordoba
Venado Tuerto	Santa Fe	08	N	72.34	33.74556S	61.96885W	117	6	America/Argentina/Cordoba
Veinticinco de Mayo	Buenos Aires	08	N	24.668	35.4323S	60.17271W	57	5	America/Argentina/Buenos_Aires
